link_id,application_name,source_screen_id,source_element_id,target_screen_id,participant_id,rating
1,shaeds,407:6513,407:6526,407:6491,1,5
1,shaeds,407:6513,407:6526,407:6491,2,5
1,shaeds,407:6513,407:6526,407:6491,3,1
1,shaeds,407:6513,407:6526,407:6491,4,5
1,shaeds,407:6513,407:6526,407:6491,5,4
1,shaeds,407:6513,407:6526,407:6491,6,4
1,shaeds,407:6513,407:6526,407:6491,7,1
1,shaeds,407:6513,407:6526,407:6491,8,1
1,shaeds,407:6513,407:6526,407:6491,9,4
1,shaeds,407:6513,407:6526,407:6491,10,1
1,shaeds,407:6513,407:6526,407:6491,11,1
1,shaeds,407:6513,407:6526,407:6491,12,1
1,shaeds,407:6513,407:6526,407:6491,13,1
1,shaeds,407:6513,407:6526,407:6491,14,2
1,shaeds,407:6513,407:6526,407:6491,15,5
1,shaeds,407:6513,407:6526,407:6491,16,1
1,shaeds,407:6513,407:6526,407:6491,17,1
1,shaeds,407:6513,407:6526,407:6491,18,1
1,shaeds,407:6513,407:6526,407:6491,19,1
1,shaeds,407:6513,407:6526,407:6491,20,4
1,shaeds,407:6513,407:6526,407:6491,21,4
1,shaeds,407:6513,407:6526,407:6491,22,5
1,shaeds,407:6513,407:6526,407:6491,23,2
1,shaeds,407:6513,407:6526,407:6491,24,1
1,shaeds,407:6513,407:6526,407:6491,25,1
1,shaeds,407:6513,407:6526,407:6491,26,5
1,shaeds,407:6513,407:6526,407:6491,27,1
1,shaeds,407:6513,407:6526,407:6491,28,1
1,shaeds,407:6513,407:6526,407:6491,29,1
1,shaeds,407:6513,407:6526,407:6491,30,1
1,shaeds,407:6513,407:6526,407:6491,31,1
1,shaeds,407:6513,407:6526,407:6491,32,3
1,shaeds,407:6513,407:6526,407:6491,33,2
1,shaeds,407:6513,407:6526,407:6491,34,5
1,shaeds,407:6513,407:6526,407:6491,35,2
1,shaeds,407:6513,407:6526,407:6491,36,1
2,shaeds,407:6513,407:6538,407:6472,1,5
2,shaeds,407:6513,407:6538,407:6472,2,5
2,shaeds,407:6513,407:6538,407:6472,3,5
2,shaeds,407:6513,407:6538,407:6472,4,5
2,shaeds,407:6513,407:6538,407:6472,5,5
2,shaeds,407:6513,407:6538,407:6472,6,5
2,shaeds,407:6513,407:6538,407:6472,7,5
2,shaeds,407:6513,407:6538,407:6472,8,5
2,shaeds,407:6513,407:6538,407:6472,9,2
2,shaeds,407:6513,407:6538,407:6472,10,5
2,shaeds,407:6513,407:6538,407:6472,11,5
2,shaeds,407:6513,407:6538,407:6472,12,5
2,shaeds,407:6513,407:6538,407:6472,13,5
2,shaeds,407:6513,407:6538,407:6472,14,5
2,shaeds,407:6513,407:6538,407:6472,15,5
2,shaeds,407:6513,407:6538,407:6472,16,5
2,shaeds,407:6513,407:6538,407:6472,17,5
2,shaeds,407:6513,407:6538,407:6472,18,4
2,shaeds,407:6513,407:6538,407:6472,19,5
2,shaeds,407:6513,407:6538,407:6472,20,5
2,shaeds,407:6513,407:6538,407:6472,21,5
2,shaeds,407:6513,407:6538,407:6472,22,4
2,shaeds,407:6513,407:6538,407:6472,23,4
2,shaeds,407:6513,407:6538,407:6472,24,5
2,shaeds,407:6513,407:6538,407:6472,25,5
2,shaeds,407:6513,407:6538,407:6472,26,5
2,shaeds,407:6513,407:6538,407:6472,27,3
2,shaeds,407:6513,407:6538,407:6472,28,5
